Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Impress,https://www.crunchbase.com/organization/impress-ai,"Artificial Intelligence, Enterprise Software, Human Resources, Machine Learning, Software","Singapore, Central Region, Singapore",Impress is a talent experience company specializing in artificial intelligence chatbot software for recruiters and HR.,1350000,USD,1350000,Private,,,Active,https://impress.ai/,11-50,1200000,USD,1200000,Seed,3,"Zeroth.AI, O Victory Fund, REAPRA"
Internet of Services,https://www.crunchbase.com/organization/internet-of-services,"Architecture, Blockchain, Internet","Singapore, Central Region, Singapore",Internet of Services is developing a scalable layer 1 blockchain for online services,40000000,USD,40000000,Private,,,Active,http://iost.io,11-50,40000000,USD,40000000,Initial Coin Offering,4,"Matrix Partners China, ZhenFund, DHVC, Sequoia Capital China, FBG Capital"
Nektar.ai,https://www.crunchbase.com/organization/nektar-ai,"Artificial Intelligence, B2B, Productivity Tools, Sales Automation","Singapore, Central Region, Singapore",Nektar.ai is a B2B sales productivity startup that develops an AI-based virtual sales assistant to improve the productivity of sales teams.,2150000,USD,2150000,Private,,,Active,https://nektar.ai/,1-10,2150000,USD,2150000,Seed,1,"Nexus Venture Partners, Insignia Ventures Partners, Better Capital, Anand Chandrasekaran, Vietnam Investments Groups"
Navisteps,https://www.crunchbase.com/organization/navisteps,"Accounting, Business Travel, Enterprise Software, Internet, SaaS, Software, Travel","Singapore, Central Region, Singapore",Navisteps is an all-in-one business expense and travel management solution,1000000,USD,1000000,Private,,,Active,https://www.navisteps.com/,1-10,1000000,USD,1000000,Pre-Seed,1,"Takuya Aiba, Fujii Yasuhide"
XanPool,https://www.crunchbase.com/organization/xanpool,"Cryptocurrency, Financial Services, Payments, Transaction Processing","Singapore, Central Region, Singapore",XanPool is a C2C software builder that allows individuals to automate their own financial transactions in a more powerful way.,4400000,USD,4400000,Private,,,Active,https://www.xanpool.com,11-50,4300000,USD,4300000,Seed,4,"Antler, LongHash Ventures, NGC Ventures, gumi Cryptos Capital, OK Group"
Pulsifi,https://www.crunchbase.com/organization/pulsifi,"Artificial Intelligence, Human Resources, Machine Learning, Predictive Analytics, Recruiting, SaaS, Software","Singapore, Central Region, Singapore",Pulsifi's People Data Platform significantly improves quality and efficiency in Talent Acquisition and Management with Predictive AI.,4000000,USD,4000000,Private,,,Active,https://pulsifi.me/,11-50,1800000,USD,1800000,Angel,3,"Khor Chieh Suang, Chi Sieng Tiong"
Cialfo,https://www.crunchbase.com/organization/cialfo-2,"Artificial Intelligence, EdTech, Education, Internet, Software","Singapore, Central Region, Singapore","Cialfo is an AI driven solution that brings together people, software, and data to simplify college and career counseling workflows.",22600000,USD,22600000,Private,,,Active,http://cialfo.co,51-100,15000000,USD,15000000,Series A,3,"Vulcan Capital, Seeds Capital, Alto Partners Multi-Family Office, SIG, January Capital"
DT One,https://www.crunchbase.com/organization/dtone,"Mobile, Mobile Payments","Singapore, Central Region, Singapore",DT One operates a global network for mobile top-up solutions and innovative mobile rewards for emerging economies.,6500000,USD,6500000,Private,,,Active,http://www.dtone.com,101-250,3500000,USD,3500000,Series B,2,"Ingenico Group, STC Ventures"
Sentient.io,https://www.crunchbase.com/organization/sentient-io-pte-ltd,"Artificial Intelligence, Big Data, Blockchain, Consulting, Developer Platform, Google, Information Technology, Machine Learning, Professional Services, SaaS","Singapore, Central Region, Singapore",Sentient.io is an AI and Data platform helping to deploy AI solutions and integrate AI into existing businesses.,5156449,USD,5156449,Private,,,Active,https://sentient.io/,11-50,3690000,USD,3690000,Series A,3,"BEENEXT, DG Daiwa Ventures, DG Ventures, Leave a Nest, ABC Dream Ventures"
United Overseas Bank,https://www.crunchbase.com/organization/united-overseas-bank,"Banking, Finance, Financial Services","Singapore, Central Region, Singapore",United Overseas Bank is a bank in China that caters to SMEs with financial services.,1250000,USD,1250000,Public,,,Active,http://www.uobgroup.com/,10001+,1250000,USD,1250000,Grant,1,
Conflux Network,https://www.crunchbase.com/organization/conflux-b7c1,"Blockchain, Information Services","Singapore, Central Region, Singapore",Conflux Network is an open network for an emerging world of digital assets and decentralized applications.,5000000,USD,5000000,Private,,,Active,https://confluxnetwork.org/,101-250,5000000,USD,5000000,Grant,1,Shanghai Science and Technology Committee
Klub,https://www.crunchbase.com/organization/klub,"Financial Services, FinTech","Singapore, Central Region, Singapore",Klub utilizes data-driven analytics and community engagement to provide financing to loved brands with high customer engagement.,2000000,USD,2000000,Private,,,Active,https://klubworks.com/,11-50,,,,Seed,2,"Kunal Shah, Surge, Ramakant Sharma, 9Unicorns Accelerator Fund, Rajesh Yabaji"
SmartClean Technologies,https://www.crunchbase.com/organization/smartclean-technologies-pte-ltd,"Artificial Intelligence, Big Data, Facilities Support Services, Internet of Things","Singapore, Central Region, Singapore",SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,5185000,SGD,3753550,Private,,,Active,http://www.smartclean.sg/,11-50,2700000,SGD,1937168,Seed,9,"Seeds Capital, AIM Smart City, AIRmaker, Rondy Yunanda Yong"
I-Pulse,https://www.crunchbase.com/organization/i-pulse,"Hardware, Manufacturing","Singapore, Central Region, Singapore",I-Pulse is a high-pulsed-power technology company that develops innovative commercial applications for pulsed power technologies.,142550024,USD,142550024,Private,,,Active,https://www.ipulse-group.com,1-10,25000000,USD,25000000,Venture - Series Unknown,4,
Sparrow,https://www.crunchbase.com/organization/sparrow-41c3,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, FinTech, Trading Platform","Singapore, Central Region, Singapore","Sparrow is the leading options trading platform, providing the simplest way to control risk and monetize digital assets.",9190000,USD,9190000,Private,,,Active,https://www.sparrowexchange.com,101-250,3500000,USD,3500000,Series A,3,"FinLab, Signum Capital, Du Capital, HDR Group"
eko.ai,https://www.crunchbase.com/organization/eko-ai,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning","Singapore, Central Region, Singapore",eko.ai is automating the fight against heart disease using machine learning to democratize echo reading and disease prediction.,5000000,USD,5000000,Private,,,Active,https://eko.ai/,11-50,4000000,USD,4000000,Undisclosed,2,"StartUp Health, Partech, Sequoia Capital India, SGInnovate, EDBI"
Arcadier,https://www.crunchbase.com/organization/arcadier,"Collaborative Consumption, E-Commerce, E-Commerce Platforms, Information Technology, Marketplace, SaaS, Sharing Economy, Software","Singapore, Central Region, Singapore",Arcadier enables individuals & organisations to develop and maintain their marketplace easily and affordably with minimal coding knowledge.,8000000,USD,8000000,Private,,,Active,https://www.arcadier.com,51-100,3000000,USD,3000000,Series A,4,Dale Ventures
Bubbly,https://www.crunchbase.com/organization/bubble-motion,"Audio, Messaging, Mobile, Social Media","Singapore, Central Region, Singapore",Bubbly is a smartphone app that allows its users to create their own voice blog in real-time and share their audio updates with other users.,40000000,USD,40000000,Private,Altruist Technologies,https://www.crunchbase.com/organization/altruist-technologies-pvt-ltd,Active,http://bubbly.net,51-100,5000000,USD,5000000,Series E,5,"Sequoia Capital, JAFCO Asia, Comcast Ventures, Singtel Innov8, NCD"
Lifesight,https://www.crunchbase.com/organization/lifesight,"Advertising Platforms, Analytics, Data Visualization, Digital Marketing, Location Based Services, Market Research, Mobile Advertising, PaaS, SaaS, Test and Measurement","Singapore, Central Region, Singapore",The Trusted Data & Analytics Company  for Real World Intelligence,2000000,USD,2000000,Private,,,Active,https://www.lifesight.io,51-100,2000000,USD,2000000,Seed,1,Provident Capital Partners
TradeHero,https://www.crunchbase.com/organization/tradehero,"Finance, Mobile, Simulation, Stock Exchanges","Singapore, Central Region, Singapore","TradeHero, a free stock market simulation app, draws data from stock exchanges to create an unrivalled global social investment network.",10464859,USD,10464859,Private,ayondo,https://www.crunchbase.com/organization/ayondo,Active,http://www.tradehero.mobi,51-100,,,,Non-equity Assistance,3,"Kleiner Perkins, IPV Capital, TNF Ventures, Microsoft Accelerator Beijing"
EngageRocket,https://www.crunchbase.com/organization/engagerocket,"Cloud Computing, Human Resources, Information Services, Information Technology, SaaS, Software","Singapore, Central Region, Singapore",EngageRocket is a cloud-based platform that helps leaders and organizations in decision making using real-time data.,3174135,USD,3174135,Private,,,Active,http://engagerocket.co/,11-50,3000000,SGD,2084135,Series A,3,"SeedPlus, Qualgro VC, Found.Ventures, Huang Shao Ning"
SWAG EV,https://www.crunchbase.com/organization/swag-ev,"Electric Vehicle, Internet of Things, Last Mile Transportation, Manufacturing, Transportation","Singapore, Central Region, Singapore",SWAG EV is an Iot-enabled electric scooter manufacturer.,6600000,USD,6600000,Private,,,Active,http://www.swagev.com,11-50,5000000,USD,5000000,Series A,2,EESL INDIA
Lynx Analytics,https://www.crunchbase.com/organization/lynx-analytics,"Analytics, Big Data, Information Technology, Predictive Analytics","Singapore, Central Region, Singapore",Lynx Analytics is a predictive analytics outlet run by quantitative marketing scientists and industry experienced data scientists.,10000000,USD,10000000,Private,,,Active,http://www.lynxanalytics.com/,11-50,10000000,USD,10000000,Venture - Series Unknown,1,
Conflux Foundation,https://www.crunchbase.com/organization/conflux-242f,Blockchain,"Singapore, Central Region, Singapore","Conflux Foundation is a next generation scalable,secure blockchain company.",35000000,USD,35000000,Private,,,Active,https://www.conflux-chain.org/,101-250,,,,Series A,4,"Sequoia Capital China, IOSG Ventures, Fundamental Labs, Rong360, Shunwei Capital"
SONM,https://www.crunchbase.com/organization/sonm,"Blockchain, Cloud Computing, Information Technology","Singapore, Central Region, Singapore",SONM’s blockchain-based decentralized fog computing platform. ,42500000,USD,42500000,Private,,,Active,https://sonm.com,51-100,42000000,USD,42000000,Initial Coin Offering,2,
Karana,https://www.crunchbase.com/organization/karana,"Consumer Goods, Food and Beverage","Singapore, Central Region, Singapore",Karana is a whole food plant-based meat brand.,1700000,USD,1700000,Private,,,Active,https://www.eatkarana.com,1-10,1700000,USD,1700000,Seed,1,"Big Idea Ventures, Henry Soesanto, Gerald Li, Kevin Poon"
CoAssets,https://www.crunchbase.com/organization/coassets,"Crowdfunding, Finance, Real Estate","Singapore, Central Region, Singapore",Matching Funders with Opportunities,1000000,SGD,736912,Public,,,Active,https://www.coassets.com,1-10,1000000,SGD,736912,Series A,1,
Blue Planet Environmental Solution,https://www.crunchbase.com/organization/blue-planet-environmental-solution,"Environmental Consulting, Environmental Engineering","Singapore, Central Region, Singapore",Blue Planet Environmental Solution provides sustainable and socially inclusive end-to-end environmental solutions.,35000000,USD,35000000,Private,,,Active,http://www.blue-planet.com,1-10,10000000,USD,10000000,Corporate Round,2,"Nomura, Sysma Holdings"
Nugit,https://www.crunchbase.com/organization/nugit,"Advertising, Analytics, Artificial Intelligence, Business Intelligence, Digital Media, Machine Learning, Marketing Automation","Singapore, Central Region, Singapore",The Data Storytelling Platform for Enterprises and Technology Companies,5200000,USD,5200000,Private,,,Active,https://nugit.co/,11-50,,,,Series A,3,"500 Startups, Sequoia Capital India, Wavemaker Partners, Tigris Capital"
RYDE Technologies,https://www.crunchbase.com/organization/ryde-technologies,"Internet, Mobile Apps, Software, Transportation","Singapore, Central Region, Singapore",RYDE is the world's first on-demand carpooling app.,9500000,USD,9500000,Private,,,Active,http://www.rydesharing.com/sg/home/,11-50,2000000,USD,2000000,Series A,6,Sea
VersaFleet,https://www.crunchbase.com/organization/versafleet,"Apps, B2B, Enterprise Software, Logistics, Mobile, SaaS, Software, Transportation","Singapore, Central Region, Singapore",VersaFleet™ is a transport management system (TMS) Software-as-a-Service (SaaS) that digitalizes & automates supply chains worldwide.,3527952,USD,3527952,Private,,,Active,https://versafleet.co,11-50,,,,Series A,5,"SMRT Ventures, Get2Volume, Prestellar Ventures"
NewCampus,https://www.crunchbase.com/organization/newcampushq,"Communities, Corporate Training, EdTech, Education, Higher Education","Singapore, Central Region, Singapore",NewCampus is a modern business school for Asia,1175000,USD,1175000,Private,,,Active,http://www.newcampus.co,11-50,500000,USD,500000,Seed,3,"SOSV, Artesian VC, 500 Startups, JFDI.Asia, Chinaccelerator"
Heptagon Advanced Micro Optics,https://www.crunchbase.com/organization/heptagon-advanced-micro-optics,"Lighting, Mobile","Singapore, Central Region, Singapore",Heptagon provides intelligent micro optics systems for smart devices.,213800000,USD,213800000,Private,ams,https://www.crunchbase.com/organization/ams-ag,Active,http://www.hptg.com/,501-1000,171500000,USD,171500000,Series F,5,"GGV Capital, Matrix Partners, Vertex Ventures, NGP Capital, Vertex Ventures Israel"
Credify,https://www.crunchbase.com/organization/credify,"Blockchain, E-Commerce, FinTech, InsurTech, Lending, Micro Lending, Reputation, Software","Singapore, Central Region, Singapore",Credify ushers in the age of embedded finance through self-sovereign digital identity and privacy-first cross-service offering technologies.,1740000,USD,1740000,Private,,,Active,https://credify.one,11-50,740000,USD,740000,Seed,2,"BEENEXT, TIS Japan, Deepcore"
Barghest Building Performance,https://www.crunchbase.com/organization/barghest-building-performance,"Energy, Renewable Energy","Singapore, Central Region, Singapore","Barghest Building Performance (BBP), Singapore’s leading energy efficiency company,",45000000,SGD,32811508,Private,,,Active,https://bbp.sg/,11-50,45000000,SGD,32811508,Series B,6,"Kohlberg Kravis Roberts, K3 Ventures, Meng Xiong Kuok"
Novena Global Healthcare Group,https://www.crunchbase.com/organization/novena-global-healthcare-group,Health Care,"Singapore, Central Region, Singapore",Novena Global Lifecare is a unique integrated Healthcare platform.,20000000,USD,20000000,Private,,,Active,http://novenalifecare.com/,1-10,20000000,USD,20000000,Private Equity,1,"Sinopharm Capital, Cedarlake Capital"
Ai Palette,https://www.crunchbase.com/organization/ai-palette,"Artificial Intelligence, Food and Beverage, Information Technology, Machine Learning","Singapore, Central Region, Singapore",Ai Palette creates successful FMCG product concepts at speed.,1500000,SGD,1081393,Private,,,Active,https://www.aipalette.com/,11-50,1500000,SGD,1081393,Seed,2,"Entrepreneur First, AgFunder, SGInnovate, Decacorn Capital"
Qashier,https://www.crunchbase.com/organization/qashier,"E-Commerce, Electronics, Financial Services, FinTech, Information Technology","Singapore, Central Region, Singapore",Qashier provides smart point-of-sale solutions that help merchants digitize their businesses.,1200000,SGD,860091,Private,,,Active,https://qashier.com/,1-10,1200000,SGD,860091,Seed,2,"Antler, HCVC, Cocoon Capital"
Lifetrack Medical Systems,https://www.crunchbase.com/organization/lifetrack-medical-systems,"B2B, Emerging Markets, Health Care, Software","Singapore, Central Region, Singapore",Making Healthcare Software Human,5700000,USD,5700000,Private,,,Active,http://lifetrackmed.com/,11-50,5200000,USD,5200000,Series A,2,"Kickstart Ventures, Philips Venture Capital Fund, UOB Venture"
Merkle Science,https://www.crunchbase.com/organization/merkle-science,"Blockchain, Information Services, Information Technology","Singapore, Central Region, Singapore",Merkle Science is a blockchain data analysis company,1100000,SGD,803425,Private,,,Active,https://www.merklescience.com/,1-10,,,,Pre-Seed,2,"Entrepreneur First, Digital Currency Group, Tribe Accelerator, Kenetic, F10 FinTech Incubator & Accelerator"
City Developments,https://www.crunchbase.com/organization/city-developments-limited,Real Estate,"Singapore, Central Region, Singapore",City Developments is a leading global real estate operating company.,250000000,SGD,180611173,Public,,,Active,https://www.cdl.com.sg/,,250000000,SGD,180611173,Post-IPO Debt,1,
Global Sports Commerce,https://www.crunchbase.com/organization/global-sports-commerce,"Consulting, Information Technology, Management Consulting, Sports","Singapore, Central Region, Singapore",GSC is a global network service provider of sports management company,80000000,USD,80000000,Private,,,Active,http://globalsportscommerce.com/,501-1000,80000000,USD,80000000,Venture - Series Unknown,1,Emerald Media
Bellabox,https://www.crunchbase.com/organization/bellabox,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Fashion, Health Care, Lifestyle","Singapore, Central Region, Singapore",Bellabox home delivers women with a box of 5 beauty samples from local and international cosmetic brands for a monthly subscription fee.,4070000,USD,4070000,Private,,,Active,http://bellabox.sg,11-50,2700000,USD,2700000,Series B,2,"Investible, Square Peg Capital, Allure Media, Apex Capital Partners, Elevation Capital"
SourceSage,https://www.crunchbase.com/organization/sourcesage,"Information Technology, Internet, SaaS, Software","Singapore, Central Region, Singapore","Amazon of Market Information, which transforms Data into real-time Business Opportunities",3000000,SGD,2232973,Private,,,Active,https://sourcesage.co/,11-50,3000000,SGD,2232973,Venture - Series Unknown,5,"Wavemaker Partners, iGlobe Partners, Crystal Horse Investments"
Get,https://www.crunchbase.com/organization/get-technologies,"Banking, Debit Cards, Family, Financial Services, FinTech, Lifestyle, Mobile Payments, Payments, Social","Singapore, Central Region, Singapore",Get is APAC's no.1 Neobank for - Built for teens & students.,3000000,USD,3000000,Private,,,Active,https://useget.com,11-50,2500000,USD,2500000,Seed,2,"Vertex Ventures, Click Ventures"
LALA WORLD,https://www.crunchbase.com/organization/lala-world,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore","Lala World is a technology company using blockchain to create a connected financial ecosystem for the unbanked, migrants, and refugees.",2000000,USD,2000000,Private,,,Active,https://lalaworld.io,11-50,2000000,USD,2000000,Series A,1,
Attune Technologies,https://www.crunchbase.com/organization/attune-technologies,"Health Care, Health Diagnostics, Information Technology, Software","Singapore, Central Region, Singapore",Attune Technologies is a visionary healthcare information technology company that delivers next generation healthcare IT products to market.,16000000,USD,16000000,Private,,,Active,http://attunelive.com,101-250,,,,Series B,3,"Norwest Venture Partners, Qualcomm Ventures"
"The Agency for Science, Technology and Research",https://www.crunchbase.com/organization/the-agency-for-science--technology-and-research,"Biotechnology, Health Care, Product Research","Singapore, Central Region, Singapore",The lead agency for fostering world-class scientific research.,62000000,USD,62000000,Private,,,Active,http://www.a-star.edu.sg/,501-1000,62000000,USD,62000000,Venture - Series Unknown,1,"Trendlines Group, Marvelstone Group, Dymon Asia Ventures, Hafnium Hafaway"
JOBHOP,https://www.crunchbase.com/organization/jobhop,"Artificial Intelligence, Cloud Computing, Human Resources, Machine Learning, Recruiting, SaaS, Software","Singapore, Central Region, Singapore","JobHop is a SaaS (Service-as-a Software) that helps companies and candidates engage better in SEA, starting with Vietnam",3160000,USD,3160000,Private,,,Active,https://www.jobhop.vn,11-50,2450000,USD,2450000,Series A,2,"KK Fund, Mynavi, EduLab Capital Partners, SEMA Translink Investment, Canaan Capital"
KooBits,https://www.crunchbase.com/organization/koobits,"Publishing, Software","Singapore, Central Region, Singapore",KooBits is an online platform created to help teach children who are disfavored in society.,2000000,SGD,1457885,Private,,,Active,http://www.koobits.com,11-50,2000000,SGD,1457885,Venture - Series Unknown,1,"Golden Gate, Access Ventures"
Nutrition Innovation,https://www.crunchbase.com/organization/nutrition-innovation,"Food and Beverage, Food Processing","Singapore, Central Region, Singapore","We are a food and technology company striving to make the world a healthier place through sugar reduction, replacement and innovation.",10000000,USD,10000000,Private,,,Active,https://www.nutritioninnovationgroup.com/,11-50,5000000,USD,5000000,Series A,2,"VisVires New Protein, Enerfo"
Sama,https://www.crunchbase.com/organization/sama,"Construction, Human Resources, Recruiting, Staffing Agency","Singapore, Central Region, Singapore",Sama is building a digital recruiting platform for migrant workers.,1150000,USD,1150000,Private,,,Active,https://sama.jobs,1-10,1150000,USD,1150000,Seed,2,"Antler, Collaborative Fund, Loyal VC, M Venture Partners, Steve Melhuish"
Zyllem,https://www.crunchbase.com/organization/zyllem,"Delivery, E-Commerce, Information Technology, Internet, Local, Logistics, Supply Chain Management, Transportation","Singapore, Central Region, Singapore","Zyllem is the leading provider of fast, cost-effective, and reliable on demand delivery service in Singapore and Malaysia.",9713000,SGD,7236527,Private,,,Active,http://www.zyllem.com/,51-100,,,,Venture - Series Unknown,5,Wavemaker Partners
Royal Group Investments,https://www.crunchbase.com/organization/royal-group-investments,"Property Management, Real Estate","Singapore, Central Region, Singapore",The Royal Group is in the development and management of real estate. ,300000000,SGD,219908459,Private,,,Active,http://www.royalgroup.sg/index.php?fx=home,11-50,300000000,SGD,219908459,Debt Financing,1,RHB Bank Berhad
Qapita,https://www.crunchbase.com/organization/qapita,"Financial Services, SaaS, Software","Singapore, Central Region, Singapore",Qapita is a provider of digital equity management SaaS solutions.,1800000,USD,1800000,Private,,,Active,https://www.qapitacorp.com/,1-10,,,,Venture - Series Unknown,2,"Atin Kukreja, Vulcan Capital, East Ventures, K3 Ventures, Boon Hwee Koh"
Fincy,https://www.crunchbase.com/organization/fincy-30fc,"FinTech, Leisure, Tourism, Travel","Singapore, Central Region, Singapore",Fincy is a fintech startup that utilizes modern distributed ledger technology to minimize the costs of currency exchange.,11000000,USD,11000000,Private,,,Active,https://www.fincy.com/,251-500,11000000,USD,11000000,Venture - Series Unknown,1,GBCI Ventures
Growthwell Group,https://www.crunchbase.com/organization/growthwell-group,"Food and Beverage, Food Processing","Singapore, Central Region, Singapore",Growthwell Group is a vegetarian food solutions company that helps F&B businesses and organizations to get high-quality products.,8000000,USD,8000000,Private,,,Active,https://growthwellfoods.com/,11-50,8000000,USD,8000000,Venture - Series Unknown,1,"Temasek Holdings, Insignia Ventures Partners, DSG Consumer Partners, Genesis Alternative Ventures, Brandify"
GoCoin,https://www.crunchbase.com/organization/gocoin,"Bitcoin, FinTech, Mobile Payments","Singapore, Central Region, Singapore",GoCoin develops a payment gateway for online and retail merchants to accept bitcoin as a payment method.,2050000,USD,2050000,Private,,,Active,http://www.gocoin.com,11-50,,,,Venture - Series Unknown,3,"Blockchain Capital, Daniel Curran, Flight Ventures, Andrew Frame, IncuVest"
Quadrant,https://www.crunchbase.com/organization/quadrant,"Analytics, Apps, Big Data, Financial Services, Information Technology, Real Time, Software","Singapore, Central Region, Singapore",Quadrant provides an online platform that helps users to find charts and share economic data in a faster and more convenient way.,818000,USD,818000,Private,,,Active,https://quadrant.io/,1-10,450000,USD,450000,Convertible Note,3,"Wavemaker Partners, JFDI.Asia"
Wallet Engine,https://www.crunchbase.com/organization/cheers-global-wallets,"B2B, FinTech, Infrastructure, Internet, Mobile Payments, Payments, Peer to Peer, Software","Singapore, Central Region, Singapore",International gateway for embedded finance,1400000,USD,1400000,Private,,,Active,http://www.walletengine.io,11-50,200000,USD,200000,Convertible Note,4,
iPaymy,https://www.crunchbase.com/organization/ipaymy,"Credit, FinTech, Internet, Payments","Singapore, Central Region, Singapore","With iPaymy for Business, SMEs can pay rent, salaries, invoices, and even tax using the credit cards they already have in their wallet.",1518481,USD,1518481,Private,,,Active,http://www.ipaymy.com,1-10,1000000,USD,1000000,Seed,2,"BEENEXT, DG Ventures"
Xen,https://www.crunchbase.com/organization/xen-41d4,"Angel Investment, Financial Services, Funding Platform, Hedge Funds, Impact Investing, Quantum Computing, Real Estate Investment, Trading Platform, Venture Capital","Singapore, Central Region, Singapore",Alternative investment platform enabling accredited investors access and liquidity in top tier investment opportunities.,1800000,USD,1800000,Private,,,Active,https://xencapital.com,51-100,1800000,USD,1800000,Seed,1,
Frasers Property,https://www.crunchbase.com/organization/frasers-centrepoint,"Commercial Real Estate, Property Management, Real Estate","Singapore, Central Region, Singapore","Frasers Property is a company that owns, develops and manages a diverse portfolio of properties across the globe.",1804810009,USD,1804810009,Public,,,Active,https://www.frasersproperty.com/,5001-10000,351000000,USD,351000000,Post-IPO Debt,3,"Scotiabank, First Abu Dhabi Bank, OCBC Bank of Singapore, Australia and New Zealand Banking Group, Barclays Investment Bank"
KAMARQ,https://www.crunchbase.com/organization/kamarqjp,"E-Commerce, Furniture, Home Decor, Internet of Things","Singapore, Central Region, Singapore",KAMARQ is the IoT furniture start-up that produces a new product that combines furniture and IT.,750000000,JPY,6669562,Private,,,Active,http://kamarq.net,11-50,400000000,JPY,3595133,Venture - Series Unknown,2,"SOSV, CyberAgent Capital, Energy & Environment Investment, Lifull, iSGS Investment Works"
GlobalTix,https://www.crunchbase.com/organization/globaltix,"E-Commerce, Information Technology, Mobile Apps, Travel","Singapore, Central Region, Singapore",GlobalTix is an online electronic ticketing platform for merchants and travel agents.,11200000,USD,11200000,Private,,,Active,http://globaltix.com/,11-50,9000000,USD,9000000,Series B,2,Tin Men Capital
RateS,https://www.crunchbase.com/organization/rate-2deb,"Blockchain, FinTech","Singapore, Central Region, Singapore",Rate is a fintech startup focused on making cross-border e-commerce accessible and more efficient for all,15000000,USD,15000000,Private,,,Active,https://rate.com.sg/,11-50,15000000,USD,15000000,Initial Coin Offering,1,"Matrix Partners China, Node Capital, Signum Capital, Bo Shen"
ZUZU Hospitality,https://www.crunchbase.com/organization/zuzuhotels,"Hospitality, Hotel, Information Technology, Marketing, Travel Accommodations","Singapore, Central Region, Singapore","ZUZU Hospitality is chain for independent hotels, delivering revenue growth through distribution and revenue management.",6700000,USD,6700000,Private,,,Active,https://www.zuzuhs.com/,101-250,,,,Convertible Note,5,"Alpha JWC Ventures, InnoVen Capital, Golden Gate, Wavemaker Partners, TNB AURA"
Vybes,https://www.crunchbase.com/organization/vybes-122b,"E-Commerce, Internet, Marketplace","Singapore, Central Region, Singapore","Vybes is an influencer commerce platform, enabling social media influencers to sell to their followers.",2500000,USD,2500000,Private,,,Active,http://getvybes.co/,11-50,2000000,USD,2000000,Seed,2,"DSG Consumer Partners, Surge"
Morpheus Labs,https://www.crunchbase.com/organization/morpheus-labs,"Blockchain, Enterprise Software, FinTech, Information Technology, SaaS","Singapore, Central Region, Singapore",A platform that Enables organisations to build solutions and validate blockchain use cases atop reference applications and solutions.,6150000,USD,6150000,Private,,,Active,http://morpheuslabs.io/,11-50,6000000,USD,6000000,Initial Coin Offering,3,
Horizon Quantum Computing,https://www.crunchbase.com/organization/horizon-quantum-computing,"Computer, Hardware, Quantum Computing, Software","Singapore, Central Region, Singapore",Singapore-based quantum computing start-up,3187400,USD,3187400,Private,,,Active,http://horizonquantum.com,11-50,2350000,USD,2350000,Seed,2,"Sequoia Capital India, SGInnovate, DCVC, Summer Capital, Abies Ventures"
Mobio Interactive,https://www.crunchbase.com/organization/mobio-interactive,"Health Care, Software","Singapore, Central Region, Singapore",Effective and Accessible Healthcare for Every Human,2350000,USD,2350000,Private,,,Active,http://midigitaltherapeutics.com/,1-10,1800000,USD,1800000,Seed,3,"SOSV, Creative Ventures, Chinaccelerator, Verge HealthTech Fund, Atlas Asset Management"
ReferralCandy,https://www.crunchbase.com/organization/referralcandy,"E-Commerce, Marketing, Mobile Apps, Software","Singapore, Central Region, Singapore",ReferralCandy is a mobile based application company specializing in customer referral programs for other eCommerce companies.,1000000,SGD,788501,Private,,,Active,http://www.referralcandy.com,11-50,1000000,SGD,788501,Series A,2,"Amasia, Toivo Annus, Spring SEEDS Capital, Innosight Ventures, Tigris Capital"
Zeemart,https://www.crunchbase.com/organization/zeemart,"Catering, Food and Beverage, Food Processing, Hotel","Singapore, Central Region, Singapore","Zeemart buyers in the hotel, catering and F&B industry source better deals by matching them with the right suppliers.",5180000,USD,5180000,Private,,,Active,http://zeemart.asia/,51-100,5180000,USD,5180000,Seed,1,"Jungle Ventures, Prem Pillay"
ComfortDelGro,https://www.crunchbase.com/organization/comfortdelgro,Transportation,"Singapore, Central Region, Singapore","ComfortDelGro is a land transport company with a total fleet size of about 46,600 buses, taxis, and rental vehicles.",25000000,USD,25000000,Private,,,Active,http://www.comfortdelgro.com/,10001+,25000000,USD,25000000,Debt Financing,1,OCBC Bank of Singapore
Validus,https://www.crunchbase.com/organization/validus-capital,"Financial Services, FinTech, Lending","Singapore, Central Region, Singapore",Southeast Asia's leading SME financing platform for SMEs and accredited investors | 1st place under SG FI at MAS Fintech Awards,50200000,USD,50200000,Private,,,Active,https://www.validus.sg,101-250,20000000,USD,20000000,Series B,5,"Vertex Ventures, FMO, Openspace Ventures, K3 Ventures, Vertex Ventures Southeast Asia & India"
